"keys","en","uk"
"ITEM_SHADY_POTION","Shady Potion","Тіньове зілля"
"ITEM_LEATHER_VEST","Leather Vest","Шкіряний жилет"
"ITEM_WINGS","Wings","Крила"
"ITEM_ALLOY","Alloy","Сплав"
"ITEM_CLOVER","Clover","Конюшина"
"ITEM_POISONOUS_TONIC","Poisonous Tonic","Отруйний тонік"
"ITEM_HEAVY_BULLETS","Heavy Bullets","Важкі кулі"
"ITEM_EXOSKELETON","Exoskeleton","Екзоскелет"
"ITEM_WOLF_HELMET","Wolf Helmet","Вовчий шолом"
"ITEM_GUMMY_BERSERKER","Gummy Berserker","Желейний берсеркер"
"ITEM_PLASTIC_EXPLOSIVE","Plastic Explosive","Пластикова вибухівка"
"ITEM_DYNAMITE","Dynamite","Динаміт"
"ITEM_TYLER","Tyler","Тайлер"
"ITEM_WANDERING_BOT","Wandering Bot","Мандрівний бот"
"ITEM_SIFDS_RELIC","Sifd’s Relic","Реліквія Сіфда"
"ITEM_DANGEROUS_BUNNY","Dangerous Bunny","Небезпечний кролик"
"ITEM_ESTYS_COUCH","Esty’s Couch","Диван Есті"
"CHARACTER_WELL_ROUNDED","Well-Rounded","Кругляч"
"CHARACTER_MASOCHIST","Masochist","Мазохіст"
"CHARACTER_BRAWLER","Brawler","Забіяка"
"CHARACTER_CHUNKY","Chunky","Кремезний"
"CHARACTER_CRAZY","Crazy","Вар'ят"
"CHARACTER_LUCKY","Lucky","Щасливчик"
"CHARACTER_LOUD","Loud","Гучний"
"CHARACTER_MUTANT","Mutant","Мутант"
"CHARACTER_ONE_ARM","One-Armed","Однорукий"
"CHARACTER_RANGER","Ranger","Стрілець"
"CHARACTER_WILDLING","Wildling","Дикун"
"CHARACTER_SPEEDY","Speedy","Швидкун"
"CHARACTER_MAGE","Mage","Маг"
"CHARACTER_KNIGHT","Knight","Лицар"
"CHARACTER_PACIFIST","Pacifist","Пацифіст"
"CHARACTER_INTROVERT","Introvert","Інтроверт "
"CHARACTER_SOLDIER","Soldier","Солдат"
"CHARACTER_GHOST","Ghost","Привид"
"CHARACTER_ENGINEER","Engineer","Інженер"
"CHARACTER_MULTITASKER","Multitasker","Мультизадачко"
"CHARACTER_ENTREPRENEUR","Entrepreneur","Підприємець"
"CHARACTER_DOCTOR","Doctor","Лікар"
"CHARACTER_GENERALIST","Generalist","Всесторонній"
"CHARACTER_SICK","Sick","Хворько"
"CHARACTER_SAVER","Saver","Скнара"
"CHARACTER_GLADIATOR","Gladiator","Гладіатор"
"CHARACTER_FARMER","Farmer","Фермер"
"CHARACTER_EXPLORER","Explorer","Дослідник"
"CHARACTER_OLD","Old","Дідо"
"CHARACTER_DEMON","Demon","Демон"
"CHARACTER_BULL","Bull","Бик"
"EFFECT_ALIEN_EYES","Shoots {0} alien eyes around you every {4} seconds dealing {1} ({3}) damage each","Вистрілює очима навколо вас кожні {4} секунди, що завдають {1} ({3}) шкоди кожне"
"EFFECT_INSTANT_GOLD_ATTRACTING","{0} chance to instantly attract a material when it’s dropped","{0} шанс моментально підібрати матеріал, коли він випадає"
"EFFECT_FREE_SHOP_REROLL","{0} free reroll in the shop","{0} безкоштовне перетосування в магазині"
"EFFECT_CONSUMABLE_HEAL","{0} HP recovered from consumables","Зцілення від фруктів {0}"
"EFFECT_REDUCE_STAT_GAINS","{0} modifications are reduced by {1}","Модифікатори {0} дають на {1} менше"
"EFFECT_INCREASE_STAT_GAINS","{0} modifications are increased by {1}","Модифікатори {0} дають на {1} більше"
"EFFECT_NO_MELEE_WEAPONS","You can't equip melee weapons","Ви не можете спорядити зброю ближнього бою"
"EFFECT_NO_RANGED_WEAPONS","You can't equip ranged weapons","Ви не можете спорядити зброю дальнього бою"
"EFFECT_STARTING_ITEM","You start with {0} {1}","Ви починаєте з {0} {1}"
"EFFECT_WEAPON_CLASS_BONUS","{0} {1} with {2} weapons","{0} {1} з зброї типу {2}"
"EFFECT_WEAPON_BONUS","{0} {1} with {2}","{0} {1} з {2}"
"EFFECT_ONE_WEAPON_SLOT_LIMIT","You can only equip one weapon at a time","Ви можете спорядити тільки одну зброю"
"EFFECT_MAX_WEAPONS","You can equip up to {0} weapons at a time","Ви можете спорядити до {0} одиниць зброї за раз"
"EFFECT_WEAPON_STACK","Deals {0} {1} for every additional {2} you have [{3}]","Завдає {0} {1} за кожен {2} [{3}]"
"EFFECT_BURNING","Deals {0}x{1} ({2}) burning damage","Завдає {0}x{1} ({2}) вогняної шкоди"
"EFFECT_BURNING_COOLDOWN_REDUCTION","Burning activates {0} faster","Горіння активується на {0} швидше"
"","",""
"EFFECT_BURNING_SPREAD_PLURAL","Burning spreads to {0] nearby enemies","Горіння розповсюджується на {0} ворогів поблизу"
"EFFECT_PIERCING","Projectiles pierce through {0} additional target","Снаряди пробивають на {0} більше цілей"
"EFFECT_PROJECTILES_ON_DEATH","One bullet dealing {1} ({3}) damage is fired from an enemy corpse when they die","З трупів ворогів вилітає одна куля, що завдає {1} ({3})"
"EFFECT_BURN_CHANCE","Attacks have a {0} chance to deal {1}x{2} ({3}) burning damage","Атаки мають {0} шанс завдати {1}х{2} ({3}) вогняної шкоди"
"EFFECT_NO_MIN_RANGE","Weapons no longer have a minimum range","Зброя більше не має мінімальної дальності"
"EFFECT_STACK_STAT","{0} {1} every 5 seconds until the end of the wave","{0} {1} кожні 5 секунд до закінчення хвилі"
"EFFECT_DEAL_DMG_WHEN_PICKUP_GOLD","{0} chance to deal {1} ({2}) damage to a random enemy when you pick up a material","{0} шанс завдати {1} ({2}) шкоди випадковому ворогу при підборі матеріалу"
"EFFECT_DEAL_DMG_WHEN_DEATH","{0} chance to deal {1} ({2}) damage to a random enemy when an enemy dies","{0} шанс завдати {1} ({2}) шкоди випадковому ворогу при смерті іншого"
"EFFECT_PIERCING_DAMAGE","{0} Piercing Damage. Can't go above base damage","{0} Пробиваючої шкоди. Не може перевищити базову шкоду"
"EFFECT_BOUNCE_DAMAGE","{0} Bounce Damage. Can't go above base damage"," {0} Шкоди рикошетів. Не може перевищити базову шкоду"
"EFFECT_KNOCKBACK","{0} Knockback","{0} Відкидання"
"EFFECT_START_WAVE_LESS_HP","Start waves with {0} HP","Ви починаєте хвилі з {0} ОЗ"
"EFFECT_REMOVE_SPEED","Hitting an enemy removes {0} of their speed. Max {2}","Удари по ворогам сповільнюють їх на {0}"
"EFFECT_SLOW_IN_ZONE","Slows enemies in a radius around the projectile","Сповільнює ворогів навколо ваших снарядів"
"EFFECT_PACIFIST","Gain {0} material and XP for every living enemy at the end of a wave","Отримуйте {0} матеріалу та досвіду за кожного живого ворога в кінці хвилі"
"EFFECT_UNIQUE_WEAPON_BONUS","{0} {1} for every different weapon you have [{2}]","{0} {1} за кожну споряджену унікальну зброю [{2}]"
"EFFECT_ADDITIONAL_WEAPON_BONUS","{0} {1} for every weapon you have [{2}]","{0} {1} за кожну споряджену зброю [{2}]"
"EFFECT_PICKUP_RANGE","{0} pickup range","{0} Радіусу підбору"
"EFFECT_ON_HIT","{0} {1} when you take damage until the end of the wave","{0} {1} при отриманні шкоди до кінця хвилі"
"EFFECT_PROJECTILES_ON_HIT","Hitting an enemy spawns {0} projectiles dealing {1} ({3}) damage","Удари по ворогам створюють {0} снарядів, що завдають {1} ({3}) шкоди"
"EFFECT_SLOW_PROJECTILES_ON_HIT","Hitting an enemy spawns {0} projectiles that deal {1} ({3}) damage and slow enemies around them","Удари по ворогам створюють {0} снарядів, що завдають {1} ({3}) шкоди та сповільнюють ворогів навколо"
"EFFECT_LIGHTNING_ON_HIT","Hitting an enemy spawns a lightning projectile that bounces {2} times and deals {1} ({3}) damage","Удари по ворогам створюють громовий снаряд, що рикошетить до {2} разів та завдає {1} ({3}) шкоди"
"EFFECT_CHANCE_DOUBLE_GOLD","{0} chance to double the value of picked up materials","{0} шанс подвоїти ціну підібраних патеріалів"
"EFFECT_GAIN_PCT_GOLD_START_WAVE","{0} of your materials at the start of waves","{0} ваших матеріалів на початку кожної хвилі"
"EFFECT_GAIN_PCT_GOLD_START_WAVE_LIMITED","{0} of your materials at the start of waves (stops working at wave {1})","{0} ваших матеріалів на початку кожної хвилі. Перестає працювати на хвилі {1}"
"EFFECT_BOUNCING","Your projectiles gain {0} bounce","Ваші снаряди отримують {0} рикошет"
"EFFECT_HEAL_WHEN_PICKUP_GOLD","{0} chance to heal 1 HP when picking up a material","{0} шанс зцілити 1 ОЗ при підборі матеріалу"
"EFFECT_ITEM_BOX_GOLD","{0} materials when you pick up a crate","{0} матеріалів при підборі ящика"
"EFFECT_ENEMY_SPEED_POS","Enemies move {0} faster","Вороги рухаються на {0} швидше"
"EFFECT_ENEMY_SPEED_NEG","Enemies move {0} slower","Вороги рухаються на {0} повільніше"
"EFFECT_GOLD_ON_CRIT_KILL","{0} material when killing an enemy with a critical hit","{0} шанс отримати 1 матеріал при вбивстві ворога критичним ударом"
"EFFECT_STAT_WHILE_NOT_MOVING","{0} {1} while standing still","{0} {1} якщо ви стоїте на місці"
"EFFECT_HP_START_NEXT_WAVE","Start the next wave with 1 HP","Ви починаєте наступну хвилю з 1 ОЗ"
"EFFECT_GAIN_STAT_END_OF_WAVE","{0} {1} at the end of a wave","{0} {1} наприкінці хвилі"
"EFFECT_CONVERT_STAT_END_OF_WAVE","{0} of your {1} are converted into {2} at the end of a wave ({3} {1} = {4} {2})","{0} вашого {1} конвертується в {2} наприкінці хвилі ({3} {1} = {4} {2})"
"EFFECT_CONVERT_STAT_TEMP_HALF_WAVE","{0} of your {1} are temporarily converted into {2} halfway through a wave ({3} {1} = {4} {2})","{0} вашого {1} тимчасово конвертується в {2} на середині хвилі ({3} {1} = {4} {2})"
"EFFECT_HP_SHOP","You buy items using Max HP instead of materials","Ви купуєте предмети використовуючи Макс. ОЗ замість матеріалів"
"EFFECT_TORTURE","Restore {0} HP per second. Cannot heal any other way.","Відновлює {0} ОЗ за секунду. Неможливо зцілюватися іншими способами."
"EFFECT_RECYCLING_GAINS","Gain {0} more materials from recycling items","Отримуйте на {0} більше матеріалів з переробки предметів"
"EFFECT_ONE_SHOT_TREES","Trees die in one hit","Дерева помирають від одного удару"
"EFFECT_HP_CAP_AT_CURRENT_VALUE","Your Max HP is capped at its current value [{0}]","Ваше Макс ОЗ може перевищити поточне [{0}]"
"EFFECT_LOSE_HP_PER_SECOND","You take {0} damage per second (does not give invulnerability time)","Ви отримуєте {0} шкоду за секунду (Не дає кадри недоторканості)"
"EFFECT_GAIN_STAT_FOR_EVERY_STAT","{0} {1} for every {2} {3} you have [{4}]","{0} {1} за кожні {2} {3} [{4}]"
"EFFECT_GAIN_STAT_FOR_EVERY_PERM_STAT","{0} {1} for every permanent {2} {3} you have [{4}]","{0} {1} за кожні перманентні {2} {3} [{4}]"
"EFFECT_CANT_STOP_MOVING","You can’t stop moving","Ви не можете зупинитися"
"EFFECT_MAX_RANGED_AND_MELEE_WEAPON","You can only equip one ranged weapon and one melee weapon at a time","Ви можете спорядити тільки одну зброю для дальнього та ближнього бою водночас"
"EFFECT_MAX_MELEE_WEAPONS","You can only equip {0} melee weapons at a time","Ви можете спорядити тільки {0} одиниць зброї ближнього бою водночас"
"EFFECT_MAX_RANGED_WEAPONS","You can only equip {0} ranged weapons at a time","Ви можете спорядити тільки {0} одиниць зброї дальнього бою водночас"
"EFFECT_SHAKY","Your weapons aim randomly","Ваша зброя прицілюється випадково"
"EFFECT_FIXED_WEAPONS_DIRECTION","Your weapons shoot at a fixed random direction set at the beginning of each wave","Ваша зброя стріляє у фіксованому випадковому напрямку, який задається на початку кожної хвилі"
"EFFECT_DODGE_CAP","Dodge is capped at {0}","Макс. ухиляння: {0}"
"EFFECT_HP_CAP","Max HP is capped at {0}","Макс. ОЗ: {0}"
"EFFECT_GOLD_ON_CRIT_KILL","{0} chance to gain 1 material when killing an enemy with a critical hit","{0} шанс отримати 1 матеріал при вбивстві ворога критичним ударом"
"EFFECT_GAIN_STAT_EVERY_KILLED_ENEMIES","{0} {1} for every {2} enemies you kill during a wave with this weapon","{0} {1} кожних {2} ворогів вбитих за хвилю з цією зброєю"
"EFFECT_EXPLODE_MELEE","{0} chance to explode on hit","{0} шанс створити вибух при ударі"
"EFFECT_EXPLODE","Projectiles explode on hit","Снаряди вибухають при ударі"
"EFFECT_EXPLODE_CUSTOM","Projectiles have {0} chance to explode on hit","Снаряди мають {0} шанс вибухнути при ударі"
"EFFECT_BOUNCE_ON_CRIT","Bounces up to {0} times on critical hit","Рикошетить до {0} разів при критичному ударі"
"EFFECT_LANDMINES","A landmine spawns every {1} seconds dealing {2} ({3}) damage in an area","Міна з'являється кожні {0} секунд та завдає {2} ({3}) шкоди в області при активації"
"EFFECT_TURRET","Spawns a turret that shoots bullets dealing {0} ({1}) damage","Встановлює турель, що стріляє кулями, що завдають {0} ({1}) шкоди"
"EFFECT_TURRET_HEALING","Spawns a medical turret that shoots bullets healing {0} ({1}) HP","Встановлює медичну турель, що стріляє в вас, зцілюючи на {0} ({1}) ОЗ"
"EFFECT_TURRET_FLAME","Spawns a turret that shoots flames dealing {0}x{1} ({2}) burning damage","Встановлює турель, що стріляє вогнем, завдаючи {0}х{1} ({2}) вогняної шкоди"
"EFFECT_TURRET_ROCKET","Spawns a turret that shoots explosive bullets dealing {0} ({1}) damage in an area","Встановлює турель, що стріляє вибуховими кулями, завдаючи {0} ({1}) шкоди в області"
"EFFECT_TURRET_LASER","Spawns a turret that shoots piercing bullets dealing {0} ({1}) damage","Встановлює турель, що стріляє пробиваючими кулями, що завдають {0} ({1}) шкоди"
"EFFECT_GROUP_STRUCTURES","Structures spawn close to each other","Споруди з'являються ближче один до одної"
"EFFECT_DOUBLE_HP_REGEN","HP Regeneration is doubled","Регенерація ОЗ подвоєна"
"EFFECT_CANT_ATTACK_WHILE_MOVING","You can’t attack while moving","Ви не можете атакувати під час руху"
"EFFECT_NO_WEAPONS","You can’t equip weapons","Ви не можете спорядити цю зброю"
"EFFECT_EXPLODE_ON_DEATH","Enemies have a {0} chance to explode for {1} ({2}) damage when they die","Вороги мають {0} шанс вибухнути при смерті, завдаючи {1} ({2}) шкоди"
"EFFECT_EXPLODE_ON_HIT","You explode for {1} ({2}) damage when you take damage","Ви вибухаєте, завдаючи {1} ({2}) шкоди при отриманні шкоди"
"EFFECT_TREES","More trees spawn","З'являється більше дерев"
"EFFECT_TREES_START_WAVE","Trees have a chance to spawn at the start of a wave","Дерева мають шанс з'явитися на початку хвилі"
"EFFECT_GENERALIST","You can only equip {0} melee weapons and {0} ranged weapons at a time","Ви можете спорядити тільки {0} одиниць зброї ближнього бою та дальнього бою водночас"
"EFFECT_MIN_WEAPON_TIER","You can only equip tier {0} weapons or above","Ви можете спорядити тільки зброю рівня {0} або вище"
"EFFECT_MAX_WEAPON_TIER","You can’t equip weapons above tier {0}","Ви не можете спорядити зброю вище рівня {0}"
"EFFECT_GOLD_DROPS","{0} materials dropped","{0} матеріалів"
"EFFECT_NEUTRAL_GOLD_DROPS","{0} materials dropped from trees","{0} матеріалів з дерев"
"EFFECT_ENEMY_GOLD_DROPS","{0} materials dropped from enemies","{0} матеріалів з ворогів"
"EFFECT_HARVESTING_GROWTH","Harvesting increases by an additional {0} at the end of a wave","Жниварство збільшується на {0} наприкінці кожної хвилі"
"EFFECT_EXPLORER","More trees spawn and they die in one hit","З'являється більше дерев та вони помирають з одного удару"
"EFFECT_WANDERING_BOT","Spawns a little bot that slows down nearby enemies","Створює маленького робота, що сповільнює ворогів поблизу"
"EFFECT_TYLER","Spawns a little guy that slowly shoots {2} piercing lightning projectiles around him for {0} ({1}) damage each","Встановлює мага, що періодично стріляє {2} пробивними блискавками, що завдають {0} ({1}) шкоди кожна, навколо себе"
"DIFFICULTY_NB","Danger {0}","Складність {0}"
"ENDLESS","Endless","Нескінченний"
"EFFECT_NO_MODIFIERS","No modifiers","Без модифікаторів"
"EFFECT_STRONGER_ENEMIES","Enemies are stronger","Вороги сильніші"
"EFFECT_NEW_ENEMIES","New enemies appear","З'являються нові вороги"
"EFFECT_INFLATION","Inflation is higher","Інфляція більше"
"EFFECT_LESS_MATERIALS","Enemies drop less materials","Менше матеріалів з ворогів"
"EFFECT_STRONGER_BOSSES","Bosses are stronger","Боси сильніші"
"EFFECT_DOUBLE_BOSS","Two bosses appear at once","Два боси замість одного"
"ENDLESS_DESCRIPTION","Survive as long as possible against never-ending waves of enemies","Виживіть якомога довше проти нескінченних хвиль ворогів"
"ENDLESS_SCORE_STORING","Endless score","Рахунок"
"HIGHEST_WAVE","Highest wave","Найбільша хвиля"
"HIGHEST_DIFFICULTY","Highest difficulty","Найвища складність"
"BG_DIRT","Dirt","Ґрунт"
"BG_FOREST","Forest","Ліс"
"BG_DREAMY_LANDS","Dreamy Lands","Омріяні землі"
"BG_BONEYARD","Boneyard","Цвинтар"
"BG_VOLCANO","Volcano","Вулкан"
"BG_DARKLANDS","Dark Lands","Темні землі"
"CHAL_DIFFICULTY_DESC","Win a run in Danger {0}","Виграти на складності {0}"
"UNLOCK_DIFFICULTY_DESC","Win a run using the previous difficulty","Виграти забіг на попередній складності"
"CHAL_SURVIVOR","Survivor {0}","Вцілілий {0}"
"CHAL_SURVIVOR_DESC","Kill {0} enemies","Вбити {0} ворогів"
"CHAL_GATHERER","Gatherer {0}","Зібрати {0}"
"CHAL_GATHERER_DESC","Collect {0} materials","Зібрати {0} матеріалів"
"CHAL_CHARACTER_DESC","Win a run with {0}","Виграти за {0}"
"CHAL_TURRETS","Builder","Будівельник"
"CHAL_TURRETS_DESC","Get {0} turrets on the map simultaneously","Мати {0} турелей на мапі одночасно"
"CHAL_HOARDER","Hoarder","Барахольник"
"CHAL_HOARDER_DESC","Hold {0} materials","Накопичити {0} матеріалу"
"CHAL_HALLUCINATION","Hallucination","Галюцинація"
"CHAL_STAT_DESC","Reach {0} {1}","Досягнути {0} {1}"
"CHAL_FAST","Fast","Швидкий"
"CHAL_MEDICINE","Medicine","Медицина"
"CHAL_MEDICINE_DESC","Heal {0} HP in one wave","Зцілити {0} ОЗ за одну хвилю"
"CHAL_DYING","Dying","Помираючий"
"CHAL_AGRICULTURE","Agriculture","Агрокультура"
"CHAL_ROOKIE","Rookie","Новобранець"
"CHAL_ROOKIE_DESC","Die for the first time","Перша смерть"
"CHAL_LUMBERJACK","Lumberjack","Лісник"
"CHAL_LUMBERJACK_DESC","Kill {0} trees","Вбити {0} дерев"
"UNIQUE","Unique","Унікальне"
"LIMITED","Limited ({0})","Лімітоване ({0})"
"MENU_EXPLOSIONS","Explosions","Вибухи"
"MENU_GOLD_SOUNDS","Change material sounds","Змінити звук матеріалу"
"MENU_GENERAL","General","Загальні"
"MENU_KEEP_LOCK","Keep items locked","Зберігати предмети закріпленими"
"MENU_DARKEN_SCREEN","Screen darkening","Потемніння екрана"
"MENU_BOSS_HP_BAR","HP bar on bosses","Полоска здоров'я на босах"
"MENU_MUTE_ON_FOCUS_LOST","Mute on losing focus","Заглушити при згортанні"
"MENU_PAUSE_ON_FOCUS_LOST","Pause on losing focus","Призупинити при згортанні"
"MENU_MANUAL_AIM_ON_MOUSE_PRESS","Manual Aim on mouse press","Пріцілювання по натисканню клавіші"
"MENU_RESOLUTION","Resolution","Роздільність"
"MENU_PROJECTILES_HIGHLIGHTING","Projectiles Highlighting","Підсвічування снарядів"
"CORRUPTED_SAVE","Your save file was corrupted. A backup was used, some progress might have been lost.","Ваш файл збереження було пошкоджено. Було використано резервну копію, деякий прогрес могло бути втрачено."
"CORRUPTED_SAVE_LATEST","Your save file was corrupted. A backup was used, the progress from your last session might have been lost.","Ваш файл збереження було пошкоджено. Було використано резервну копію, прогрес з останнього сеансу міг бути втрачений."
"CORRUPTED_ALL_SAVES_STEAM","All of your save files were corrupted. A save file has been recreated from your Steam achievements, some progress might have been lost.","Усі ваші файли збережень було пошкоджено. Файл збереження було створено з ваших досягнень у Steam, деякі досягнення могли бути втрачені."
"CORRUPTED_ALL_SAVES_NO_STEAM","All of your save files were corrupted. Please launch the game from Steam so a save file can be recreated from your Steam achievements.","Усі ваші файли збережень було пошкоджено. Будь ласка, запустіть гру зі Steam, щоб можна було відтворити файл збереження з ваших досягнень у Steam."
"EFFECT_ELITES","Elites and hordes appear","З'являються еліти та орди"
"EFFECT_MORE_ELITES","More elites and hordes appear","З'являється більше еліт і орд"
"CHARACTER_HUNTER","Hunter","Мисливець"
"CHARACTER_ARTIFICER","Artificer","Винахідник"
"ITEM_EXPLOSIVE_SHELLS","Explosive Shells","Розривні снаряди"
"CHAL_FIREWORKS","Fireworks","Феєрверки"
"CHAL_FIREWORKS_DESC","Kill {0} enemies with a single explosion","Вбити {0} ворогів одним вибухом"
"CHAL_PERFECT_VISION","Perfect Vision","Ідеальний зір"
"WEAPON_CROSSBOW","Crossbow","Арбалет"
"EFFECT_PIERCE_ON_CRIT","Pierces up to {0} times on critical hit","Пробиває до {0} ворогів при криті"
"WEAPON_SNIPER_GUN","Sniper Gun","Снайперська гвинтівка"
"ELITE_APPEARING","An elite will appear on wave {0}","Еліта з'явиться на хвилі {0}"
"HORDE_APPEARING","A horde will appear on wave {0}","Орда з'явиться на хвилі {0}"
"ITEM_GRINDS_MAGICAL_LEAF","Grind's Magical Leaf","Чарівний листок Ґрінда"
"EFFECT_ADD_ALL_STATS_END_OF_WAVE","{0} to all stats at the end of a wave","{0} до всіх характеристик в кінці хвилі"
"WEAPON_CLASS_MEDIEVAL","Medieval","Середньовічне"
"WEAPON_PLANK","Plank","Дошка"
"DAMAGE_DEALT_LAST_WAVE","This weapon has dealt {0} damage during the last wave","Ця зброя завдала {0} шкоди за останню хвилю"
"ITEM_TARDIGRADE","Tardigrade","Тардиґрада"
"ITEM_STRANGE_BOOK","Strange Book","Дивна книга"
"EFFECT_HIT_PROTECTION","Nullifies the damage of one hit taken every wave","Зводить нанівець шкоду від одного удару, отриманого кожної хвилі"
"NULLIFIED","Nullified","Анульовано"
"ITEM_POTION","Regeneration Potion","Зілля регенерації"
"EFFECT_DOUBLE_HP_REGEN_BELOW_HALF_HEALTH","HP Regeneration is doubled when you have less than 50% health","Регенерація ОЗ подвоєна, коли ви маєте менше 50% здоров'я"
"ITEM_ANVIL","Anvil","Ковадло"
"EFFECT_UPGRADE_RANDOM_WEAPON","A random weapon is upgraded when entering a shop. If you have no weapon to upgrade, you gain {0} {1} instead.","Випадкова зброя покращується, коли ви заходите до магазину. Якщо у вас немає зброї для покращення, ви отримуєте {0} {1} замість цього."
"CHARACTER_ARMS_DEALER","Arms Dealer","Торговець зброєю"
"WEAPONS_PRICE","Weapons Price","Ціна зброї"
"EFFECT_MINIMUM_WEAPON_IN_SHOP","Shops always sell at least one weapon","У магазинах завжди продається принаймні одна одиниця зброї"
"EFFECT_MINIMUM_WEAPONS_IN_SHOP","Shops always sell at least {0} weapons","У магазинаг завше є принаймні {0} одиниць зброї"
"EFFECT_DESTROY_WEAPONS","All of your weapons are destroyed when entering a shop","Вся ваша зброя руйнується при заході в магазин"
"CHAL_RECYCLING","Recycling","Переробка"
"CHAL_RECYCLING_DESC","Recycle {0} weapons during a run","Переробити {0} зброї за один забіг"
"CHARACTER_STREAMER","Streamer","Стример"
"CHAL_SLOW","Slow","Повільно"
"ITEM_COMMUNITY_SUPPORT","Community Support","Підтримка спільноти"
"STRUCTURE","Structure","Структура"
"PRIMARY","Primary","Основне"
"SECONDARY","Secondary","Вторинне"
"PICKUP_RANGE","% Pickup Range","% Радіусу збору"
"CONSUMABLE_HEAL","Consumable Heal","Зцілення від фруктів"
"BURNING_COOLDOWN_REDUCTION","% Burning Speed","% Швидкість горіння"
"BURNING_SPREAD","Burning Spread","Розповсюдження вогню"
"CHANCE_DOUBLE_GOLD","% Double Material Chance","% Шанс подвійного матеріалу"
"CHANCE_HEAL_ON_GOLD","% Materials Healing","% Зцілення матеріалами"
"ITEM_BOX_GOLD","Materials in crates","Матеріалів в коробках"
"TREES","Trees","Дерев"
"FREE_REROLLS","Free Rerolls","Безкоштовних перетосувань"
"PCT_NUMBER_OF_ENEMIES","% Enemies","% Ворогів"
"PCT_ENEMY_SPEED","% Enemy Speed","% Швидкості ворогів"
"DAMAGE_DEALT","Damage dealt: {0}","Заподіяно шкоди: {0}"
"STATS_GAINED","Stats gained: {0}","Характеристик отримано: {0}"
"MATERIALS_SAVED","Materials saved: {0}","Збережено матеріалів: {0}"
"MATERIALS_GAINED","Materials gained: {0}","Отримано матеріалів: {0}"
"HEALTH_RECOVERED","HP recovered: {0}","Відновлено ОЗ: {0}"
"TREES_SPAWNED","Trees spawned: {0}","Створено дерев: {0}"
"CURRENT_LEVEL","Current Level","Поточний рівень"
"MENU_OPTIMIZE_END_WAVES","Optimize end of waves","Оптимізація кінців хвиль"
"EFFECT_GAIN_STAT_FOR_EVERY_ENEMY","{0} {1} for every current living enemy [{4}]","{0} {1} за кожного наразі живого ворога [{4}]"
"EFFECT_GOLD_WHILE_NOT_MOVING","{0} of your materials ({2} max) per second while standing still","{0} ваших матеріалів ({2} макс.) за секунду поки ви не рухаєтеся"
"EFFECT_GOLD_WHILE_MOVING","{0} of your materials ({2} max) per second while moving","{0} ваших матеріалів ({2} макс.) за секунду під час руху"
"EFFECT_STAT_WHILE_MOVING","{0} {1} while moving","{0} {1} під час руху"
"MENU_MODS","Mods","Модифікації"
"MENU_EDITOR","Editor","Редактор"
"MENU_WORKSHOP","Browse Workshop","Відвідати майстерню"
"CHAL_HUNGRY","Hungry","Голод"
"CHAL_HUNGRY_DESC","Pick up {0} consumables during a run","Підібрати {0} фруктів за один забіг"
"CHAL_ADVANCED_TECHNOLOGY","Advanced Technology","Передові технології"
"CHAL_ADVANCED_TECHNOLOGY_DESC","Reach {0} {1} and get {2} structures at the same time","Досягнути {0} {1} та отримати {2} структур водночас"
"CHAL_GIANT_SLAYER","Giant Slayer","Убився гігантів"
"CHAL_GIANT_SLAYER_DESC","Kill a boss or an elite in less than {0} seconds","Вбити боса чи еліту за {0} або менше секунд"
"CHAL_ROBUST","Robust","Міцний горішок"
"CHARACTER_GLUTTON","Glutton","Ненажера"
"CHARACTER_CYBORG","Cyborg","Кіборг"
"CHARACTER_JACK","Jack","Джек"
"CHARACTER_LICH","Lich","Ліч"
"ITEM_BLOODY_HAND","Bloody Hand","Кривава рука"
"ITEM_EXTRA_STOMACH","Extra Stomach","Додатковий шлунок"
"ITEM_SPICY_SAUCE","Spicy Sauce","Гострий соус"
"ITEM_TENTACLE","Tentacle","Тентакля"
"ITEM_SILVER_BULLET","Silver Bullet","Срібна куля"
"ITEM_BAIT","Bait","Приманка"
"ITEM_PEACOCK","Peacock","Павич"
"ITEM_LUCKY_COIN","Lucky Coin","Щаслива монетка"
"ITEM_ADRENALINE","Adrenaline","Адреналін"
"ITEM_RIPOSTE","Riposte","Удар у відповідь"
"ITEM_GARDEN","Garden","Грядка"
"ITEM_IMPROVED_TOOLS","Improved Tools","Покращені інструменти"
"ITEM_GIANT_BELT","Giant Belt","Гігантський пояс"
"WEAPON_REVOLVER","Revolver","Револьвер"
"WEAPON_JOUSTING_LANCE","Jousting Lance","Лицарський спис"
"WEAPON_PRUNER","Pruner","Секатор"
"EFFECT_DEAL_DMG_WHEN_HEAL","{0} chance to deal {1} ({2}) damage to a random enemy when you heal","{0} шанс завдати {1} ({2}) шкоди випадковому ворогу при зціленні"
"EFFECT_DEAL_DMG_WHEN_DODGE","{0} chance to deal {1} ({2}) damage to an enemy when dodging their attack","{0} шанс завдати {1} ({2}) шкоди ворогу при ухиленні від його атаки"
"EFFECT_HEAL_WHEN_DODGE","{0} chance to heal {1} HP when dodging an attack","{0} шанс зцілити {1} ОЗ при ухиленні від атаки"
